Iteration,CurrentMin,CurrentMax,HistoricalMin,HistoricalMax,MeanFitness,StandardDev,P0   ,P25  ,P50  ,P75  ,P100 ,StepGradient(u/iter),TimeGradient(u/s),ElapsedTime(s)
0,7552.8500,10000.0000,7552.8500,10000.0000,9916.3104,387.9574,7552.8500,9998.6450,9999.9950,10000.0000,10000.0000,,,5.6110
1,2635.3400,10000.0000,2635.3400,10000.0000,8547.1530,2066.8236,2635.3400,8031.0575,9581.5400,9989.6675,10000.0000,1369.1574,3863.5425,17.7189
2,2235.2100,10000.0000,2235.2100,10000.0000,6115.0920,2848.7805,2235.2100,3213.8875,6297.2950,8307.9950,10000.0000,2432.0610,4810.6972,25.2776
3,2232.8900,10000.0000,2232.8900,10000.0000,5036.3676,2582.8592,2232.8900,2936.7550,3889.5800,6800.7450,10000.0000,1078.7244,1912.2197,28.2061
4,1732.4200,10000.0000,1732.4200,10000.0000,4503.8464,2693.1291,1732.4200,2734.6925,3187.7250,5795.5825,10000.0000,532.5212,956.0046,27.8514
5,1732.6400,10000.0000,1732.4200,10000.0000,3793.7370,2315.8660,1732.6400,2535.9375,2787.7400,3790.0000,10000.0000,710.1094,1196.3289,29.6787
6,1232.1500,10000.0000,1232.1500,10000.0000,3787.4270,2325.1084,1232.1500,2535.2100,3038.4650,3613.4600,10000.0000,6.3100,10.6117,29.7315
7,1633.8000,10000.0000,1232.1500,10000.0000,3703.1914,2231.2367,1633.8000,2535.7200,2936.6000,3413.8250,10000.0000,84.2356,142.3826,29.5807
8,1631.8600,10000.0000,1232.1500,10000.0000,3434.2884,2265.2702,1631.8600,2334.3650,2736.2050,3237.9600,10000.0000,268.9030,449.4230,29.9165
9,1532.0700,10000.0000,1232.1500,10000.0000,3406.0222,2253.0568,1532.0700,2335.4975,2835.8600,3213.9575,10000.0000,28.2662,47.1993,29.9434
10,929.9700,10000.0000,929.9700,10000.0000,3426.4208,2250.7616,929.9700,2435.2300,2835.7100,3211.4425,10000.0000,-20.3986,-34.0645,29.9411
